,Time,Temperature
199,131.23822341857334,41.16
200,131.89771197846568,41.28
201,132.557200538358,41.3
202,133.21668909825033,41.37
203,133.87617765814267,41.48
204,134.53566621803498,41.5
205,135.1951547779273,41.55
206,135.85464333781965,41.66
207,136.51413189771196,41.73
208,137.1736204576043,41.85
209,137.83310901749664,41.93
210,138.49259757738895,41.98
211,139.1520861372813,42.0
212,139.8115746971736,42.05
213,140.47106325706594,42.2
214,141.13055181695827,42.3
215,141.79004037685058,42.3
216,142.44952893674292,42.5
217,143.10901749663526,42.51
218,143.76850605652757,42.55
219,144.4279946164199,42.64
220,145.08748317631225,42.64
221,145.74697173620456,42.82
222,146.4064602960969,42.87
223,147.06594885598923,42.98
224,147.72543741588154,43.02
225,148.38492597577388,43.15
226,149.04441453566622,43.23
227,149.70390309555853,43.26
